id,host_since,host_response_rate,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location
20891,2017,100,XIII Aurelia,Private room in rental unit,Private room,8,3,3,70,1,1125,2,5,5,5
16125,2019,92,V Prenestino/Centocelle,Entire condominium (condo),Entire home/apt,9,4,5,95,1,29,2,4,5,4
8949,2011,100,XI Arvalia/Portuense,Entire rental unit,Entire home/apt,16,4,4,299,1,30,2,3,3,3
15134,2018,91,I Centro Storico,Entire rental unit,Entire home/apt,14,4,6,400,1,1125,2,4,5,5
17165,2019,87,XIII Aurelia,Entire rental unit,Entire home/apt,10,4,4,216,1,1125,2,4.5,4.5,4
21954,2021,90,I Centro Storico,Entire rental unit,Entire home/apt,8,4,4,166,1,28,2,4.5,4,5
3496,2015,60,II Parioli/Nomentano,Private room in bed and breakfast,Private room,9,4,4,210,1,1125,2,5,4.5,5
20467,2020,100,I Centro Storico,Private room in serviced apartment,Private room,10,4,4,185,1,365,2,5,5,5
18451,2019,100,I Centro Storico,Private room in hostel,Private room,2,5,1,67,1,1125,2,5,5,5
3071,2014,100,XIII Aurelia,Private room in villa,Private room,16,5,3,35,1,1125,2,4,5,3.5
3543,2012,90,IV Tiburtina,Entire rental unit,Entire home/apt,14,6,6,400,1,70,2,3,4.5,2.5
11529,2018,76,I Centro Storico,Private room in rental unit,Private room,16,7,6,45,1,1125,2,5,4.5,4
2934,2014,100,XI Arvalia/Portuense,Entire condominium (condo),Entire home/apt,2,1,1,79,2,7,2,5,5,4
9735,2016,100,I Centro Storico,Entire condominium (condo),Entire home/apt,5,1,2,83,2,1125,2,2,1,3
13785,2013,100,XIV Monte Mario,Entire condominium (condo),Entire home/apt,4,1,1,40,2,90,2,5,5,5
15471,2015,100,IV Tiburtina,Entire condominium (condo),Entire home/apt,2,1,1,50,2,30,2,5,5,5
18716,2013,100,XIII Aurelia,Entire condominium (condo),Entire home/apt,4,1,1,49,2,1125,2,4.5,4.5,4.5
21110,2014,100,XIV Monte Mario,Entire condominium (condo),Entire home/apt,2,1,1,54,2,30,2,5,5,5
21288,2019,100,XII Monte Verde,Entire condominium (condo),Entire home/apt,4,1,1,80,2,28,2,4.5,5,5
22119,2019,86,I Centro Storico,Entire condominium (condo),Entire home/apt,2,1,1,80,2,1125,2,5,5,5
22237,2021,100,VII San Giovanni/Cinecitta,Entire condominium (condo),Entire home/apt,6,1,2,96,2,28,2,4.5,4,5
22347,2010,100,XIII Aurelia,Entire condominium (condo),Entire home/apt,4,1,1,69,2,30,2,3.5,2.5,5
22384,2012,90,XII Monte Verde,Entire condominium (condo),Entire home/apt,3,1,1,75,2,28,2,5,5,4.5
22750,2016,100,I Centro Storico,Entire condominium (condo),Entire home/apt,2,1,1,119,2,1125,2,4.5,4.5,5
22876,2015,100,VII San Giovanni/Cinecitta,Entire condominium (condo),Entire home/apt,2,1,1,50,2,30,2,5,4,5
22956,2021,100,V Prenestino/Centocelle,Entire condominium (condo),Entire home/apt,2,1,1,73,2,14,2,5,5,5
23061,2019,88,V Prenestino/Centocelle,Entire condominium (condo),Entire home/apt,3,1,1,30,2,13,2,2.5,2.5,2
23245,2014,38,IV Tiburtina,Entire condominium (condo),Entire home/apt,1,1,1,45,2,60,2,5,5,4.5
23441,2018,100,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,1,110,2,1125,2,4.5,5,4.5
23764,2014,100,XIII Aurelia,Entire condominium (condo),Entire home/apt,4,1,1,55,2,28,2,5,5,5
23998,2014,100,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,2,103,2,1125,2,5,5,5
24181,2012,100,I Centro Storico,Entire condominium (condo),Entire home/apt,3,1,1,46,2,31,2,5,4.5,5
24199,2012,100,I Centro Storico,Entire condominium (condo),Entire home/apt,6,1,2,46,2,1125,2,5,4.5,5
24332,2020,98,I Centro Storico,Entire condominium (condo),Entire home/apt,5,1,2,114,2,365,2,5,5,5
16192,2019,100,I Centro Storico,Entire loft,Entire home/apt,2,1,1,150,2,14,2,5,5,5
22156,2021,70,II Parioli/Nomentano,Entire loft,Entire home/apt,2,1,1,55,2,180,2,5,5,4.5
1036,2013,90,I Centro Storico,Entire rental unit,Entire home/apt,4,1,2,110,2,30,2,5,5,5
2675,2014,44,III Monte Sacro,Entire rental unit,Entire home/apt,7,1,3,100,2,1125,2,4.5,3.5,3.5
3117,2014,0,VII San Giovanni/Cinecitta,Entire rental unit,Entire home/apt,3,1,1,100,2,1125,2,4,3.5,5
5578,2015,100,III Monte Sacro,Entire rental unit,Entire home/apt,3,1,2,60,2,1125,2,4.5,5,5
5662,2015,70,I Centro Storico,Entire rental unit,Entire home/apt,4,1,1,116,2,1125,2,4.5,5,5
5663,2015,70,I Centro Storico,Entire rental unit,Entire home/apt,4,1,1,156,2,1125,2,4,4.5,5
